objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,compositionality,noise,regularity,partial_observability,volatility
lifetime_reuse,continuous,standard,0,28,22,2,14,4.107142857142857,1.5357142857142858,1.75,43,34,32,0.9411764705882353,1.3636363636363635,1.0,0.5714285714285714,15,28,6,mixed,0.0,1.0,1.0,0.5,0.0
lifetime_reuse,continuous,standard,0,29,21,3,13,2.8275862068965516,1.4827586206896552,1.7586206896551724,43,34,25,0.7352941176470589,1.4285714285714286,1.0,0.5517241379310345,13,29,8,abstraction_dag,0.0,1.0,1.0,0.5,0.5
lifetime_reuse,continuous,standard,0,29,23,3,14,2.6206896551724137,1.5862068965517242,1.793103448275862,46,36,25,0.6944444444444444,1.3043478260869565,1.0,0.6206896551724138,13,29,6,abstraction_dag,0.0,1.0,1.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,26,2,14,3.6785714285714284,3.4642857142857144,3.5357142857142856,97,73,73,1.0,1.1538461538461537,1.0,0.8571428571428571,10,28,2,mixed,0.0,1.0,1.0,1.0,0.0
lifetime_reuse,continuous,standard,0,29,21,2,11,4.172413793103448,2.689655172413793,2.9655172413793105,78,58,56,0.9655172413793104,1.4285714285714286,1.0,0.7586206896551724,10,29,8,mixed,0.0,1.0,1.0,1.0,0.5
lifetime_reuse,continuous,standard,0,29,26,3,14,3.8620689655172415,3.3448275862068964,3.4482758620689653,97,65,63,0.9692307692307692,1.1538461538461537,1.0,0.8275862068965517,10,29,3,abstraction_dag,0.0,1.0,1.0,1.0,1.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,0.5,0.0,0.0,0.5,0.0
lifetime_reuse,continuous,standard,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0.0,30.0,0.0,0.0,0,1,0,flat_memory,0.5,0.0,0.0,0.5,0.5
lifetime_reuse,continuous,standard,0,7,6,1,6,1.4285714285714286,1.1428571428571428,1.2857142857142858,8,3,0,0.0,5.0,0.0,0.0,0,7,1,flat_memory,0.5,0.0,0.0,0.5,1.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,0.5,0.0,0.0,1.0,0.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,0.5,0.0,0.0,1.0,0.5
lifetime_reuse,continuous,standard,0,20,20,2,19,1.75,1.75,1.75,35,15,0,0.0,1.5,1.0,0.1,18,20,0,mixed,0.5,0.0,0.0,1.0,1.0
lifetime_reuse,continuous,standard,0,4,4,1,4,0.0,0.0,0.0,0,3,1,0.3333333333333333,7.5,0.0,0.0,0,4,0,flat_memory,0.5,0.0,0.5,0.5,0.0
lifetime_reuse,continuous,standard,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0.0,30.0,0.0,0.0,0,1,0,flat_memory,0.5,0.0,0.5,0.5,0.5
lifetime_reuse,continuous,standard,0,7,6,1,6,1.4285714285714286,1.1428571428571428,1.2857142857142858,8,3,0,0.0,5.0,0.0,0.0,0,7,1,flat_memory,0.5,0.0,0.5,0.5,1.0
lifetime_reuse,continuous,standard,0,18,12,1,12,1.5,0.16666666666666666,0.5,3,10,2,0.2,2.5,0.0,0.0,0,18,6,flat_memory,0.5,0.0,0.5,1.0,0.0
lifetime_reuse,continuous,standard,0,12,0,1,0,6.416666666666667,0.16666666666666666,1.1666666666666667,2,0,0,0.0,30.0,0.0,0.0,0,12,12,collapse,0.5,0.0,0.5,1.0,0.5
lifetime_reuse,continuous,standard,0,25,19,2,16,2.8,1.0,1.24,25,15,1,0.06666666666666667,1.5789473684210527,1.0,0.24,19,25,6,mixed,0.5,0.0,0.5,1.0,1.0
lifetime_reuse,continuous,standard,0,17,15,2,14,0.8823529411764706,0.7058823529411765,0.8235294117647058,12,13,12,0.9230769230769231,2.0,1.0,0.11764705882352941,24,17,2,mixed,0.5,0.0,1.0,0.5,0.0
lifetime_reuse,continuous,standard,0,17,13,1,13,1.588235294117647,0.5294117647058824,0.7647058823529411,9,11,10,0.9090909090909091,2.3076923076923075,0.0,0.0,0,17,4,flat_memory,0.5,0.0,1.0,0.5,0.5
lifetime_reuse,continuous,standard,0,19,16,2,15,1.4736842105263157,1.0,1.1578947368421053,19,12,9,0.75,1.875,1.0,0.10526315789473684,24,19,3,mixed,0.5,0.0,1.0,0.5,1.0
lifetime_reuse,continuous,standard,0,26,26,3,18,2.8076923076923075,2.8076923076923075,2.8076923076923075,73,54,54,1.0,1.1538461538461537,1.0,0.6153846153846154,12,26,0,abstraction_dag,0.5,0.0,1.0,1.0,0.0
lifetime_reuse,continuous,standard,0,27,27,2,23,2.8518518518518516,2.8518518518518516,2.8518518518518516,77,46,46,1.0,1.1111111111111112,1.0,0.2962962962962963,14,27,0,mixed,0.5,0.0,1.0,1.0,0.5
lifetime_reuse,continuous,standard,0,27,27,3,23,2.814814814814815,2.814814814814815,2.814814814814815,76,37,31,0.8378378378378378,1.1111111111111112,1.0,0.2962962962962963,18,27,0,abstraction_dag,0.5,0.0,1.0,1.0,1.0
lifetime_reuse,continuous,standard,0,24,10,1,10,5.041666666666667,0.25,0.8333333333333334,6,4,2,0.5,3.0,0.0,0.0,0,24,14,flat_memory,0.5,0.5,0.0,0.5,0.0
lifetime_reuse,continuous,standard,0,21,12,1,12,3.4761904761904763,0.23809523809523808,0.6666666666666666,5,12,5,0.4166666666666667,2.5,0.0,0.0,0,21,9,flat_memory,0.5,0.5,0.0,0.5,0.5
lifetime_reuse,continuous,standard,0,26,11,1,11,4.076923076923077,0.3076923076923077,0.8846153846153846,8,16,10,0.625,2.727272727272727,0.0,0.0,0,26,15,flat_memory,0.5,0.5,0.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,15,2,14,2.6785714285714284,0.8571428571428571,1.3214285714285714,24,20,10,0.5,2.0,1.0,0.21428571428571427,10,28,13,mixed,0.5,0.5,0.0,1.0,0.0
lifetime_reuse,continuous,standard,0,28,13,2,13,3.892857142857143,0.21428571428571427,0.75,6,12,4,0.3333333333333333,2.3076923076923075,1.0,0.07142857142857142,14,28,15,mixed,0.5,0.5,0.0,1.0,0.5
lifetime_reuse,continuous,standard,0,28,13,1,13,3.7142857142857144,0.21428571428571427,0.75,6,12,4,0.3333333333333333,2.3076923076923075,0.0,0.0,0,28,15,flat_memory,0.5,0.5,0.0,1.0,1.0
lifetime_reuse,continuous,standard,0,25,11,2,10,4.96,0.28,0.84,7,5,3,0.6,2.727272727272727,1.0,0.08,30,25,14,mixed,0.5,0.5,0.5,0.5,0.0
lifetime_reuse,continuous,standard,0,21,10,1,10,2.9523809523809526,0.09523809523809523,0.6190476190476191,2,11,5,0.45454545454545453,3.0,0.0,0.0,0,21,11,flat_memory,0.5,0.5,0.5,0.5,0.5
lifetime_reuse,continuous,standard,0,26,10,1,10,3.576923076923077,0.19230769230769232,0.8076923076923077,5,15,9,0.6,3.0,0.0,0.0,0,26,16,flat_memory,0.5,0.5,0.5,0.5,1.0
lifetime_reuse,continuous,standard,0,28,16,3,12,3.2857142857142856,0.8571428571428571,1.2857142857142858,24,23,9,0.391304347826087,1.875,1.0,0.42857142857142855,10,28,12,abstraction_dag,0.5,0.5,0.5,1.0,0.0
lifetime_reuse,continuous,standard,0,28,14,2,13,4.285714285714286,0.32142857142857145,0.8214285714285714,9,13,6,0.46153846153846156,2.142857142857143,1.0,0.07142857142857142,26,28,14,mixed,0.5,0.5,0.5,1.0,0.5
lifetime_reuse,continuous,standard,0,28,13,2,12,4.178571428571429,0.25,0.7857142857142857,7,11,5,0.45454545454545453,2.3076923076923075,1.0,0.07142857142857142,26,28,15,mixed,0.5,0.5,0.5,1.0,1.0
lifetime_reuse,continuous,standard,0,27,9,1,9,5.592592592592593,0.07407407407407407,0.7407407407407407,2,4,4,1.0,3.3333333333333335,0.0,0.0,0,27,18,flat_memory,0.5,0.5,1.0,0.5,0.0
lifetime_reuse,continuous,standard,0,28,11,2,11,3.607142857142857,0.10714285714285714,0.7142857142857143,3,10,5,0.5,2.727272727272727,1.0,0.07142857142857142,16,28,17,mixed,0.5,0.5,1.0,0.5,0.5
lifetime_reuse,continuous,standard,0,28,12,1,12,3.107142857142857,0.14285714285714285,0.7142857142857143,4,17,9,0.5294117647058824,2.5,0.0,0.0,0,28,16,flat_memory,0.5,0.5,1.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,14,2,10,3.642857142857143,0.7142857142857143,1.2142857142857142,20,19,7,0.3684210526315789,2.142857142857143,1.0,0.2857142857142857,9,28,14,mixed,0.5,0.5,1.0,1.0,0.0
