architecture_id,paradigm,e_star_complete,correspondence_score,mapping_ambiguity,C1,C2,C3,C4,C5
a000217,differentiable_system,False,0.5401054986612674,0.05,[],[],[],[0],"[1, 3]"
a000218,symbolic_system,False,0.6407650199692015,0.0,[1],[],[],[0],[]
a000219,cellular_automata,False,0.6451899892448573,0.0,[3],[],[],[],[6]
a000220,sat_based,False,0.4794114969687177,0.0,[],[2],[3],[],[]
a000221,hypergraph,False,0.5960966433208715,0.0,[9],[],[],[],[6]
a000222,graph_system,False,0.7965506793762482,0.0,[2],[],[3],[6],[9]
a000223,hypergraph,False,0.5363950834822435,0.03333333333333333,"[4, 1]",[],[],[],[]
a000224,sat_based,False,0.5218944079186091,0.0,[],[],[0],[],[3]
a000225,hypergraph,False,0.7141207444350746,0.0,[1],[],[],[4],[5]
a000226,random_interaction,False,0.6156912291841599,0.0,[3],[],[],[],[2]
a000227,hypergraph,False,0.5136349887526944,0.02222222222222222,"[3, 0]",[],[],[],[]
a000228,probabilistic_system,False,0.580176146378921,0.02,[],"[4, 1]",[3],[],[]
a000229,random_interaction,False,0.48750786735405904,0.05,[],[],"[3, 1]",[],[]
a000230,symbolic_system,False,0.5316110169844366,0.0,[],[9],[],[],[4]
a000231,probabilistic_system,False,0.44538128921736664,0.0,[],[],[0],[],[]
a000232,graph_system,False,0.6483830005559361,0.04444444444444444,[],[],[],"[0, 8, 6]",[4]
a000233,random_interaction,False,0.46489676284683307,0.0,[],[],[],[],[3]
a000234,differentiable_system,False,0.4613851545864841,0.0,[],[],[],[],[]
a000235,hypergraph,False,0.6138303963862334,0.0,[],[],[],[],[1]
a000236,graph_system,False,0.427337822652356,0.06666666666666667,[],[],[],"[1, 2]",[]
a000237,rewriting_system,False,0.49550128489969597,0.0,[],[5],[],[3],[]
a000238,graph_system,False,0.5359807903442237,0.0,[],[],[],[],[]
a000239,rewriting_system,False,0.609091745580387,0.0,[],[],[],[2],[]
a000240,cellular_automata,False,0.49353719462788054,0.0,[2],[],[],[],[]
a000241,differentiable_system,False,0.45340671454833437,0.0,[],[],[],[],[]
a000242,sat_based,False,0.4914350122559708,0.0,[0],[],[],[],[]
a000243,sat_based,False,0.6745300277828689,0.025,[4],[],"[5, 6]",[],[]
a000244,rewriting_system,False,0.48581027321236087,0.0,[],[],[],[0],[]
a000245,cellular_automata,False,0.43997287617492803,0.0,[],[],[],[],[]
a000246,probabilistic_system,False,0.5637911313651797,0.0,[],[],[2],[],[]
a000247,cellular_automata,False,0.4239163688530061,0.0,[3],[],[],[],[]
a000248,probabilistic_system,False,0.6073372215198414,0.0,[],[3],[],[0],[]
a000249,differentiable_system,False,0.5736077809872666,0.0,[],[3],[],[0],[]
a000250,cellular_automata,False,0.4973696311387652,0.0,[],[],[1],[],[]
a000251,probabilistic_system,False,0.5694937597904859,0.0,[5],[],[],[],[]
a000252,differentiable_system,False,0.4294989104142274,0.0,[],[],[],[],[]
a000253,hypergraph,False,0.6073687230527353,0.0,[4],[],[],[],[3]
a000254,random_interaction,False,0.4181724136534749,0.0,[],[],[],[2],[]
a000255,probabilistic_system,False,0.514702410583278,0.0,[],[6],[],[],[]
a000256,random_interaction,False,0.513508895992296,0.02,[],[],[],[],"[0, 3]"
a000257,cellular_automata,False,0.4529491750397224,0.06666666666666667,[],[],[],[],"[1, 0]"
a000258,probabilistic_system,False,0.6889049517524521,0.0,[],[],[],[0],[]
a000259,sat_based,False,0.4285405408591604,0.0,[],[2],[],[],[]
a000260,hypergraph,False,0.6760466323817123,0.0,[1],[2],[],[6],[]
a000261,cellular_automata,False,0.5078505446305535,0.04,[],"[9, 8, 5]",[],[],[]
a000262,rewriting_system,False,0.593983245031718,0.0,[6],[],[],[0],[]
a000263,graph_system,False,0.6611429852354342,0.0,[],[6],[],[8],[]
a000264,sat_based,False,0.5676156027823571,0.0,[],[6],[],[],[]
a000265,probabilistic_system,False,0.43085532322759895,0.0,[],[],[1],[],[]
a000266,differentiable_system,False,0.32323814885207314,0.0,[],[],[],[],[]
