objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime
merge_driven,compositional,standard,0,49,46,2,31,4.918367346938775,4.653061224489796,4.714285714285714,228,201,201,1.0,1.0869565217391304,1.0,0.6122448979591837,11,49,3,reusable_feature_graph
merge_driven,compositional,equal_abstraction_budget,0,49,35,2,27,5.36734693877551,4.530612244897959,4.591836734693878,222,155,155,1.0,1.4285714285714286,1.0,0.5714285714285714,11,49,14,reusable_feature_graph
merge_driven,compositional,remove_composition,0,8,5,1,5,12.5,10.875,11.25,87,53,53,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
merge_driven,compositional,remove_hierarchy,0,21,18,1,18,8.523809523809524,7.904761904761905,8.047619047619047,166,90,90,1.0,2.7777777777777777,0.0,0.0,0,21,3,flat_reusable_features
merge_driven,partial,standard,0,49,36,2,29,3.5306122448979593,2.0,2.2653061224489797,98,50,42,0.84,1.3888888888888888,1.0,0.32653061224489793,17,49,13,mixed
merge_driven,partial,equal_abstraction_budget,0,49,35,2,29,3.6530612244897958,2.0,2.2653061224489797,98,50,42,0.84,1.4285714285714286,1.0,0.32653061224489793,17,49,14,mixed
merge_driven,partial,remove_composition,0,14,5,1,5,7.285714285714286,3.7857142857142856,4.428571428571429,53,23,19,0.8260869565217391,10.0,0.0,0.0,0,14,9,flat_reusable_features
merge_driven,partial,remove_hierarchy,0,16,7,1,7,6.75,3.6875,4.25,59,27,23,0.8518518518518519,7.142857142857143,0.0,0.0,0,16,9,flat_reusable_features
merge_driven,anti_compositional,standard,0,46,44,3,24,4.804347826086956,4.1521739130434785,4.195652173913044,191,145,145,1.0,1.1363636363636365,1.0,0.8695652173913043,15,46,2,abstraction_dag
merge_driven,anti_compositional,equal_abstraction_budget,0,46,35,2,24,5.956521739130435,4.130434782608695,4.173913043478261,190,135,135,1.0,1.4285714285714286,1.0,0.8695652173913043,15,46,11,reusable_feature_graph
merge_driven,anti_compositional,remove_composition,0,5,4,1,4,15.2,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
merge_driven,anti_compositional,remove_hierarchy,0,19,18,1,18,7.2631578947368425,6.842105263157895,6.894736842105263,130,83,83,1.0,2.7777777777777777,0.0,0.0,0,19,1,flat_reusable_features
prediction_driven,random,standard,0,21,7,1,7,4.904761904761905,0.14285714285714285,0.8095238095238095,3,18,7,0.3888888888888889,7.142857142857143,0.0,0.0,0,21,14,flat_memory
prediction_driven,random,equal_abstraction_budget,0,21,7,1,7,4.904761904761905,0.14285714285714285,0.8095238095238095,3,18,7,0.3888888888888889,7.142857142857143,0.0,0.0,0,21,14,flat_memory
prediction_driven,random,remove_composition,0,1,0,1,0,2.0,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,collapse
prediction_driven,random,remove_hierarchy,0,21,7,1,7,4.904761904761905,0.14285714285714285,0.8095238095238095,3,18,7,0.3888888888888889,7.142857142857143,0.0,0.0,0,21,14,flat_memory
prediction_driven,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
prediction_driven,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
prediction_driven,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
prediction_driven,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
prediction_driven,hierarchical,standard,0,12,9,2,8,10.25,8.916666666666666,9.166666666666666,107,50,50,1.0,5.555555555555555,1.0,0.16666666666666666,24,12,3,reusable_feature_graph
prediction_driven,hierarchical,equal_abstraction_budget,0,12,9,2,8,10.25,8.916666666666666,9.166666666666666,107,50,50,1.0,5.555555555555555,1.0,0.16666666666666666,24,12,3,reusable_feature_graph
prediction_driven,hierarchical,remove_composition,0,8,5,1,5,12.75,10.75,11.125,86,38,38,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
prediction_driven,hierarchical,remove_hierarchy,0,11,8,1,8,11.0,9.545454545454545,9.818181818181818,105,48,48,1.0,6.25,0.0,0.0,0,11,3,flat_reusable_features
prediction_driven,compositional,standard,0,12,9,2,8,10.25,8.916666666666666,9.166666666666666,107,72,72,1.0,5.555555555555555,1.0,0.16666666666666666,24,12,3,reusable_feature_graph
prediction_driven,compositional,equal_abstraction_budget,0,12,9,2,8,10.25,8.916666666666666,9.166666666666666,107,72,72,1.0,5.555555555555555,1.0,0.16666666666666666,24,12,3,reusable_feature_graph
prediction_driven,compositional,remove_composition,0,8,5,1,5,12.75,10.75,11.125,86,53,53,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
prediction_driven,compositional,remove_hierarchy,0,11,8,1,8,11.0,9.545454545454545,9.818181818181818,105,61,61,1.0,6.25,0.0,0.0,0,11,3,flat_reusable_features
prediction_driven,partial,standard,0,22,13,2,13,6.0,2.6818181818181817,3.090909090909091,59,31,24,0.7741935483870968,3.8461538461538463,1.0,0.09090909090909091,17,22,9,mixed
prediction_driven,partial,equal_abstraction_budget,0,22,13,2,13,6.0,2.6818181818181817,3.090909090909091,59,31,24,0.7741935483870968,3.8461538461538463,1.0,0.09090909090909091,17,22,9,mixed
prediction_driven,partial,remove_composition,0,11,5,1,5,9.090909090909092,4.909090909090909,5.454545454545454,54,23,19,0.8260869565217391,10.0,0.0,0.0,0,11,6,flat_reusable_features
prediction_driven,partial,remove_hierarchy,0,21,13,1,13,6.238095238095238,2.8095238095238093,3.1904761904761907,59,31,24,0.7741935483870968,3.8461538461538463,0.0,0.0,0,21,8,flat_memory
prediction_driven,anti_compositional,standard,0,4,4,1,4,17.0,17.0,17.0,68,34,34,1.0,12.5,0.0,0.0,0,4,0,flat_reusable_features
prediction_driven,anti_compositional,equal_abstraction_budget,0,4,4,1,4,17.0,17.0,17.0,68,34,34,1.0,12.5,0.0,0.0,0,4,0,flat_reusable_features
prediction_driven,anti_compositional,remove_composition,0,4,4,1,4,17.0,17.0,17.0,68,34,34,1.0,12.5,0.0,0.0,0,4,0,flat_reusable_features
prediction_driven,anti_compositional,remove_hierarchy,0,4,4,1,4,17.0,17.0,17.0,68,34,34,1.0,12.5,0.0,0.0,0,4,0,flat_reusable_features
constraint_driven,random,standard,0,41,14,2,14,6.341463414634147,0.17073170731707318,0.8292682926829268,7,34,15,0.4411764705882353,3.5714285714285716,1.0,0.14634146341463414,8,41,27,mixed
constraint_driven,random,equal_abstraction_budget,0,41,14,2,14,6.341463414634147,0.17073170731707318,0.8292682926829268,7,34,15,0.4411764705882353,3.5714285714285716,1.0,0.14634146341463414,8,41,27,mixed
constraint_driven,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse
constraint_driven,random,remove_hierarchy,0,39,14,1,14,5.717948717948718,0.15384615384615385,0.7948717948717948,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,39,25,flat_memory
constraint_driven,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
constraint_driven,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
constraint_driven,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
constraint_driven,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
constraint_driven,hierarchical,standard,0,49,46,2,28,4.714285714285714,4.448979591836735,4.510204081632653,218,158,158,1.0,1.0869565217391304,1.0,0.7346938775510204,10,49,3,reusable_feature_graph
constraint_driven,hierarchical,equal_abstraction_budget,0,49,35,2,24,5.775510204081633,4.346938775510204,4.408163265306122,213,133,133,1.0,1.4285714285714286,1.0,0.7755102040816326,10,49,14,reusable_feature_graph
constraint_driven,hierarchical,remove_composition,0,8,5,1,5,12.5,10.875,11.25,87,38,38,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
constraint_driven,hierarchical,remove_hierarchy,0,21,18,1,18,8.238095238095237,7.619047619047619,7.761904761904762,160,87,87,1.0,2.7777777777777777,0.0,0.0,0,21,3,flat_reusable_features
constraint_driven,compositional,standard,0,49,46,2,28,4.714285714285714,4.448979591836735,4.510204081632653,218,188,188,1.0,1.0869565217391304,1.0,0.7346938775510204,10,49,3,reusable_feature_graph
constraint_driven,compositional,equal_abstraction_budget,0,49,35,2,24,5.775510204081633,4.346938775510204,4.408163265306122,213,159,159,1.0,1.4285714285714286,1.0,0.7755102040816326,10,49,14,reusable_feature_graph
constraint_driven,compositional,remove_composition,0,8,5,1,5,12.5,10.875,11.25,87,53,53,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
constraint_driven,compositional,remove_hierarchy,0,21,18,1,18,8.238095238095237,7.619047619047619,7.761904761904762,160,90,90,1.0,2.7777777777777777,0.0,0.0,0,21,3,flat_reusable_features
constraint_driven,partial,standard,0,49,38,3,22,3.5918367346938775,2.020408163265306,2.2448979591836733,99,45,40,0.8888888888888888,1.3157894736842106,1.0,0.6938775510204082,6,49,11,abstraction_dag
constraint_driven,partial,equal_abstraction_budget,0,49,35,3,23,4.36734693877551,2.020408163265306,2.2448979591836733,99,44,39,0.8863636363636364,1.4285714285714286,1.0,0.6530612244897959,6,49,14,abstraction_dag
constraint_driven,partial,remove_composition,0,14,5,1,5,7.285714285714286,3.7857142857142856,4.428571428571429,53,23,19,0.8260869565217391,10.0,0.0,0.0,0,14,9,flat_reusable_features
constraint_driven,partial,remove_hierarchy,0,12,6,1,6,6.083333333333333,4.416666666666667,4.916666666666667,53,22,22,1.0,8.333333333333334,0.0,0.0,0,12,6,flat_reusable_features
constraint_driven,anti_compositional,standard,0,46,45,3,23,4.608695652173913,4.130434782608695,4.1521739130434785,190,142,142,1.0,1.1111111111111112,1.0,0.9565217391304348,12,46,1,abstraction_dag
constraint_driven,anti_compositional,equal_abstraction_budget,0,46,35,3,22,5.521739130434782,4.065217391304348,4.086956521739131,187,124,124,1.0,1.4285714285714286,1.0,0.8260869565217391,12,46,11,abstraction_dag
constraint_driven,anti_compositional,remove_composition,0,5,4,1,4,15.2,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
constraint_driven,anti_compositional,remove_hierarchy,0,16,16,1,16,7.125,7.125,7.125,114,72,72,1.0,3.125,0.0,0.0,0,16,0,flat_reusable_features
mdl_like,random,standard,0,14,2,1,2,5.428571428571429,0.07142857142857142,0.7857142857142857,1,3,1,0.3333333333333333,25.0,0.0,0.0,0,14,12,flat_memory
mdl_like,random,equal_abstraction_budget,0,14,2,1,2,5.428571428571429,0.07142857142857142,0.7857142857142857,1,3,1,0.3333333333333333,25.0,0.0,0.0,0,14,12,flat_memory
