objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,implementation
novelty,random,equal_abstraction_budget,0,38,13,1,13,5.2368421052631575,0.15789473684210525,0.8157894736842105,6,31,14,0.45161290322580644,3.8461538461538463,0.0,0.0,0,38,25,flat_memory,hypergraph
novelty,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse,hypergraph
novelty,random,remove_hierarchy,0,38,13,1,13,5.2368421052631575,0.15789473684210525,0.8157894736842105,6,31,14,0.45161290322580644,3.8461538461538463,0.0,0.0,0,38,25,flat_memory,hypergraph
novelty,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
novelty,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
novelty,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
novelty,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
novelty,hierarchical,standard,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,46,36,0.782608695652174,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,hierarchical,equal_abstraction_budget,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,46,36,0.782608695652174,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,hierarchical,remove_composition,0,9,5,1,5,10.777777777777779,9.555555555555555,10.0,86,38,38,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
novelty,hierarchical,remove_hierarchy,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,46,36,0.782608695652174,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,compositional,standard,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,47,43,0.9148936170212766,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,compositional,equal_abstraction_budget,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,47,43,0.9148936170212766,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,compositional,remove_composition,0,9,5,1,5,10.777777777777779,9.555555555555555,10.0,86,53,53,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
novelty,compositional,remove_hierarchy,0,49,33,1,33,4.918367346938775,1.346938775510204,1.6734693877551021,66,47,43,0.9148936170212766,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,hypergraph
novelty,partial,standard,0,49,33,2,30,4.6938775510204085,0.8163265306122449,1.1428571428571428,40,16,11,0.6875,1.5151515151515151,1.0,0.12244897959183673,36,49,16,mixed,hypergraph
novelty,partial,equal_abstraction_budget,0,49,33,2,30,4.6938775510204085,0.8163265306122449,1.1428571428571428,40,16,11,0.6875,1.5151515151515151,1.0,0.12244897959183673,36,49,16,mixed,hypergraph
novelty,partial,remove_composition,0,13,5,1,5,8.0,4.153846153846154,4.769230769230769,54,23,19,0.8260869565217391,10.0,0.0,0.0,0,13,8,flat_reusable_features,hypergraph
novelty,partial,remove_hierarchy,0,45,29,1,29,5.133333333333334,0.9111111111111111,1.2666666666666666,41,15,12,0.8,1.7241379310344827,0.0,0.0,0,45,16,flat_memory,hypergraph
novelty,anti_compositional,standard,0,46,36,1,36,4.956521739130435,1.7608695652173914,1.9782608695652173,81,48,48,1.0,1.3888888888888888,0.0,0.0,0,46,10,flat_memory,hypergraph
novelty,anti_compositional,equal_abstraction_budget,0,46,35,1,35,5.326086956521739,1.7608695652173914,1.9565217391304348,81,44,44,1.0,1.4285714285714286,0.0,0.0,0,46,11,flat_memory,hypergraph
novelty,anti_compositional,remove_composition,0,5,4,1,4,15.2,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features,hypergraph
novelty,anti_compositional,remove_hierarchy,0,46,36,1,36,4.956521739130435,1.7608695652173914,1.9782608695652173,81,48,48,1.0,1.3888888888888888,0.0,0.0,0,46,10,flat_memory,hypergraph
prediction_lifetime,random,standard,0,37,14,2,14,5.891891891891892,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,1.0,0.05405405405405406,14,37,23,mixed,hypergraph
prediction_lifetime,random,equal_abstraction_budget,0,37,14,2,14,5.891891891891892,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,1.0,0.05405405405405406,14,37,23,mixed,hypergraph
prediction_lifetime,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse,hypergraph
prediction_lifetime,random,remove_hierarchy,0,37,14,1,14,6.0,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,37,23,flat_memory,hypergraph
prediction_lifetime,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
prediction_lifetime,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
prediction_lifetime,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
prediction_lifetime,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
prediction_lifetime,hierarchical,standard,0,49,46,2,28,4.6938775510204085,4.285714285714286,4.346938775510204,210,151,151,1.0,1.0869565217391304,1.0,0.7346938775510204,11,49,3,reusable_feature_graph,hypergraph
prediction_lifetime,hierarchical,equal_abstraction_budget,0,49,35,2,26,5.469387755102041,4.183673469387755,4.244897959183674,205,134,134,1.0,1.4285714285714286,1.0,0.7346938775510204,11,49,14,reusable_feature_graph,hypergraph
prediction_lifetime,hierarchical,remove_composition,0,9,5,1,5,10.88888888888889,9.555555555555555,10.0,86,38,38,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
prediction_lifetime,hierarchical,remove_hierarchy,0,25,22,1,22,7.8,7.0,7.12,175,96,96,1.0,2.272727272727273,0.0,0.0,0,25,3,flat_reusable_features,hypergraph
prediction_lifetime,compositional,standard,0,49,46,2,28,4.6938775510204085,4.285714285714286,4.346938775510204,210,170,170,1.0,1.0869565217391304,1.0,0.7346938775510204,11,49,3,reusable_feature_graph,hypergraph
prediction_lifetime,compositional,equal_abstraction_budget,0,49,35,2,26,5.469387755102041,4.183673469387755,4.244897959183674,205,151,151,1.0,1.4285714285714286,1.0,0.7346938775510204,11,49,14,reusable_feature_graph,hypergraph
prediction_lifetime,compositional,remove_composition,0,9,5,1,5,10.88888888888889,9.555555555555555,10.0,86,53,53,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
prediction_lifetime,compositional,remove_hierarchy,0,25,22,1,22,7.8,7.0,7.12,175,98,98,1.0,2.272727272727273,0.0,0.0,0,25,3,flat_reusable_features,hypergraph
prediction_lifetime,partial,standard,0,49,37,3,21,3.489795918367347,1.9795918367346939,2.2244897959183674,97,40,39,0.975,1.3513513513513513,1.0,0.6938775510204082,6,49,12,abstraction_dag,hypergraph
prediction_lifetime,partial,equal_abstraction_budget,0,49,35,2,21,4.285714285714286,1.9795918367346939,2.2244897959183674,97,40,39,0.975,1.4285714285714286,1.0,0.6530612244897959,6,49,14,mixed,hypergraph
prediction_lifetime,partial,remove_composition,0,14,5,1,5,7.357142857142857,3.7857142857142856,4.428571428571429,53,23,19,0.8260869565217391,10.0,0.0,0.0,0,14,9,flat_reusable_features,hypergraph
prediction_lifetime,partial,remove_hierarchy,0,23,14,1,14,5.217391304347826,3.0434782608695654,3.4347826086956523,70,28,28,1.0,3.5714285714285716,0.0,0.0,0,23,9,flat_memory,hypergraph
prediction_lifetime,anti_compositional,standard,0,46,45,3,25,4.304347826086956,3.9782608695652173,4.0,183,141,141,1.0,1.1111111111111112,1.0,0.8695652173913043,12,46,1,abstraction_dag,hypergraph
prediction_lifetime,anti_compositional,equal_abstraction_budget,0,46,35,3,24,5.956521739130435,3.9565217391304346,3.9782608695652173,182,122,122,1.0,1.4285714285714286,1.0,0.6956521739130435,12,46,11,abstraction_dag,hypergraph
prediction_lifetime,anti_compositional,remove_composition,0,5,4,1,4,15.0,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features,hypergraph
prediction_lifetime,anti_compositional,remove_hierarchy,0,16,16,1,16,6.9375,6.9375,6.9375,111,71,71,1.0,3.125,0.0,0.0,0,16,0,flat_reusable_features,hypergraph
exact_memory,random,standard,0,43,35,1,35,3.3255813953488373,0.16279069767441862,0.3488372093023256,7,4,1,0.25,1.4285714285714286,0.0,0.0,0,43,8,flat_memory,hypergraph
exact_memory,random,equal_abstraction_budget,0,43,34,1,34,4.4186046511627906,0.16279069767441862,0.3488372093023256,7,4,1,0.25,1.4705882352941178,0.0,0.0,0,43,9,flat_memory,hypergraph
exact_memory,random,remove_composition,0,43,35,1,35,3.3255813953488373,0.16279069767441862,0.3488372093023256,7,4,1,0.25,1.4285714285714286,0.0,0.0,0,43,8,flat_memory,hypergraph
exact_memory,random,remove_hierarchy,0,43,35,1,35,3.3255813953488373,0.16279069767441862,0.3488372093023256,7,4,1,0.25,1.4285714285714286,0.0,0.0,0,43,8,flat_memory,hypergraph
exact_memory,no_regularities,standard,0,38,38,1,38,0.3157894736842105,0.3157894736842105,0.3157894736842105,12,10,10,1.0,1.3157894736842106,0.0,0.0,0,38,0,flat_memory,hypergraph
exact_memory,no_regularities,equal_abstraction_budget,0,38,35,1,35,3.8684210526315788,0.3157894736842105,0.3157894736842105,12,9,9,1.0,1.4285714285714286,0.0,0.0,0,38,3,flat_memory,hypergraph
exact_memory,no_regularities,remove_composition,0,38,38,1,38,0.3157894736842105,0.3157894736842105,0.3157894736842105,12,10,10,1.0,1.3157894736842106,0.0,0.0,0,38,0,flat_memory,hypergraph
exact_memory,no_regularities,remove_hierarchy,0,38,38,1,38,0.3157894736842105,0.3157894736842105,0.3157894736842105,12,10,10,1.0,1.3157894736842106,0.0,0.0,0,38,0,flat_memory,hypergraph
exact_memory,hierarchical,standard,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,9,9,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
