objective,world,ablation,seed,pc1,pc2,cluster
exact_memory,no_regularities,equal_abstraction_budget,0,-0.12011360855677447,1.647315606165337,6
exact_memory,no_regularities,remove_composition,0,-0.1356468400963067,2.0508192697661674,6
exact_memory,no_regularities,remove_hierarchy,0,-0.1356468400963067,2.0508192697661674,6
exact_memory,hierarchical,standard,0,-0.4410218188136813,1.6778232047184685,6
exact_memory,hierarchical,equal_abstraction_budget,0,-0.4410218188136813,1.6778232047184685,6
exact_memory,hierarchical,remove_composition,0,-0.4410218188136813,1.6778232047184685,6
exact_memory,hierarchical,remove_hierarchy,0,-0.4410218188136813,1.6778232047184685,6
exact_memory,compositional,standard,0,-0.4617890491569971,1.6886551091993611,6
exact_memory,compositional,equal_abstraction_budget,0,-0.4617890491569971,1.6886551091993611,6
exact_memory,compositional,remove_composition,0,-0.4617890491569971,1.6886551091993611,6
exact_memory,compositional,remove_hierarchy,0,-0.4617890491569971,1.6886551091993611,6
exact_memory,partial,standard,0,-0.1865879510515484,2.5464710011494245,6
exact_memory,partial,equal_abstraction_budget,0,-0.1865879510515484,2.5464710011494245,6
exact_memory,partial,remove_composition,0,-0.1865879510515484,2.5464710011494245,6
exact_memory,partial,remove_hierarchy,0,-0.1865879510515484,2.5464710011494245,6
exact_memory,anti_compositional,standard,0,0.011808670544471683,2.2850662154787678,6
exact_memory,anti_compositional,equal_abstraction_budget,0,0.09261933362579029,1.5713045040643558,6
exact_memory,anti_compositional,remove_composition,0,0.011808670544471683,2.2850662154787678,6
exact_memory,anti_compositional,remove_hierarchy,0,0.011808670544471683,2.2850662154787678,6
