architecture_id,paradigm,e_star_complete,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,canonical_class,lab_distance,weakest_lab_correspondence
a001691,probabilistic_system,False,0.10104482110824359,0.2774028680320952,0.30219524055089875,0.8049113175660507,0.03418201778462304,0.15561682563717807,0.8928477359098969,0.17349499828057774,0.6311043656932802,0.38506215889451156,0.582244157549989,0.5185688127532697,canon_258,0.7025707590392103,failed
a001692,cellular_automata,False,0.06154616514394404,0.026988757908377625,0.7071973600039281,0.0729744768702083,0.044263264754470066,0.0010312794337549761,0.03507743459336643,0.02239209057611763,0.9230679967173998,0.7393164327141915,0.05164016982621609,0.02542455680405964,canon_524,0.7828578793465807,failed
a001694,probabilistic_system,False,0.1262836624402649,0.07550510313072126,0.5745482630488756,0.533701995453574,0.23497032818887026,0.03987310087549392,0.7924700975961104,0.02845926483532918,0.7958109788056972,0.6136455565645695,0.3320932132550742,0.025605918374992487,canon_222,0.6489216204627701,failed
a001698,graph_system,False,0.12046347272148875,0.25049042205184735,0.5775941690732986,0.024929497811756574,0.011034786630990112,0.057718395369440886,0.027446153836444886,0.2774484218082451,0.9136293114990939,0.6173984597553912,0.19864271308328263,0.022834863432603103,canon_491,0.7205261775473473,failed
a001702,cellular_automata,False,0.10047244007871135,0.39950521166024533,0.6983012258385878,0.41219954073027465,0.25067092833227655,0.020962368642368636,0.5070448124915952,0.328434034362217,0.7321961243035131,0.7246890554503185,0.4587360937652352,0.06776695074728956,canon_015,0.5071259617062599,weak_behavioral_equivalence
a001703,hypergraph,False,0.058347474741649745,0.3862333786758219,0.5038313387512658,0.9386064442048351,0.2954874673984458,0.04569339871212401,0.0413200805456172,0.47438102360107953,0.6578727283048378,0.5655500610295411,0.8653104518157995,0.579650340143864,canon_487,0.5769266001655763,failed
a001709,rewriting_system,False,0.07147490546275835,0.5807040472552258,0.2799878918960153,0.02961863662512343,0.0,0.013929169989037158,0.530899850849753,0.5962413235177553,0.6724066115282208,0.3714100378148967,0.32819174382653693,0.5611621495722923,canon_156,0.5540412008663196,failed
a001719,cellular_automata,False,0.10216550976088278,0.33366683613791503,0.7676484118573459,0.40835507976158225,0.2890319680590667,0.011392046779590687,0.28471386018529765,0.3121803751298163,0.7552923846544773,0.7838112139367343,0.34671162758538454,0.5132079548178087,canon_320,0.4690472232891923,weak_behavioral_equivalence
a001722,symbolic_system,False,0.08129040770431577,0.24438475141107685,0.3001028194973327,0.08427512924986724,0.002727689841948322,0.0013290370226296212,0.040154992492601016,0.4695239812468656,0.7613002146782546,0.38690372888090263,0.24758101164410679,0.5743138355395259,canon_514,0.6767686025838056,failed
a001724,random_interaction,False,0.07967825815415268,0.3534538784640691,0.30131597983829156,0.4645600654655808,0.015566362446044923,0.37375534790178316,0.055812498722828896,0.24640565481760907,0.7602605018088879,0.38823334662525216,0.28929704886464663,0.047925402983899024,canon_403,0.7694508822698557,failed
a001727,graph_system,False,0.12375856414241011,0.4649120116969787,0.6044510482141646,0.535850273700416,0.2583485663483952,0.31679905931608965,0.4726414718129299,0.257684759092668,0.7046182971088917,0.6397735373621868,0.48653832209720604,0.028006304319485253,canon_002,0.524988138965806,failed
a001728,graph_system,False,0.07286945078602715,0.5670341992918327,0.38897735705729386,0.38757919302797184,0.06054728996128156,0.015985520419237967,0.49529776503412837,0.7020369292374243,0.6127082567900968,0.464583706386288,0.4955021621147468,0.3155392080656195,canon_169,0.4985989375475235,weak_behavioral_equivalence
a001731,random_interaction,False,0.0818048469570075,0.3065091145674001,0.5507334676230317,0.10059846729373989,0.039293635574232544,0.30296021326507117,0.6673371827271659,0.2951867345416892,0.7400930054599748,0.6016373112015818,0.06832938918400083,0.015430661896093878,canon_250,0.6838561022749357,failed
a001734,hypergraph,False,0.11153885641752984,0.11353459720459746,0.28695334720810445,0.7182751284189881,0.0175025684922403,0.0010974252067150973,0.033439459864308185,0.16712519614646953,0.7990110640747534,0.37000495684866375,0.555847627306109,0.03501602345710286,canon_526,0.8036600911457005,failed
a001735,cellular_automata,False,0.06719734972650855,0.3049203390833609,0.8171909568885319,0.061791695802743685,0.04732191793399526,0.0035881125401763746,0.5960022521824633,0.5004841421983584,0.7477760000916982,0.8326189002566552,0.27735967991781546,0.37996041881101383,canon_114,0.478322692651719,weak_behavioral_equivalence
a001739,cellular_automata,False,0.0628567800912202,0.06136602325276619,0.7016008449078323,0.10617031108737374,0.06360249031169268,0.0031881807821887683,0.04245248193180917,0.025709946458629618,0.8876509234776704,0.7342938742951682,0.07396434752379616,0.024850863229179065,canon_524,0.7788518279888758,failed
a001740,differentiable_system,False,0.0944668762339231,0.42012639044471767,0.7690383251471484,0.5331431309149823,0.3769567700173039,0.3468466523146674,0.6589427093385858,0.42075178327437157,0.7017210077787813,0.7864409078881893,0.3118681205541962,0.5149497815780355,canon_009,0.4883869635945318,weak_behavioral_equivalence
a001743,rewriting_system,False,0.06043441513548494,0.6610282312083195,0.7753565812714891,0.06392314570560109,0.044970266701764516,0.3336085568867103,0.0358099517661884,0.6232673945346792,0.6988896503683774,0.7979293661246478,0.36160307034306505,0.5710327391691332,canon_357,0.5835047163142161,failed
a001745,graph_system,False,0.07720973942165799,0.4831346026336375,0.45218940391178875,0.6324425569005595,0.1569289723398848,0.1475985384278093,0.05901678887744555,0.6975316015205562,0.6355133906853662,0.5179950535945363,0.622723638149484,0.5469827573455994,canon_455,0.4903189705236572,weak_behavioral_equivalence
a001751,cellular_automata,False,0.09782451235824047,0.059864045335253566,0.8088732604037897,0.5282544878228406,0.4041943301712526,0.030423376455616952,0.6088960223496263,0.031183843982157122,0.8432439561265884,0.8199606593938167,0.3258401808258956,0.024665450816550694,canon_032,0.6240283429884603,failed
a001752,symbolic_system,False,0.10452016525011067,0.4450417749035454,0.4453157579592817,0.06009940457190388,0.014913632985404102,0.009779425268632088,0.0444291290203227,0.4966314800465738,0.7870046151654961,0.5070815918754638,0.23277826807869706,0.8398246023228639,canon_506,0.574117474414474,failed
a001755,differentiable_system,False,0.08647008390937759,0.4860819055394336,0.5006716696629692,0.6363376834766052,0.20412630936250364,0.48301414483739075,0.6393120348192349,0.43915430452434745,0.6514837068894265,0.5578817647803619,0.47750385288544356,0.05350035249971263,canon_099,0.6239159593559463,failed
a001756,random_interaction,False,0.08569630896949566,0.42003232142641506,0.7578984189187037,0.40249063793880824,0.276900940396531,0.015262138462772377,0.5235360983366801,0.29785532150307387,0.7389251541802254,0.7785026657803318,0.4297071691765108,0.03873860534331486,canon_016,0.48860678247877865,weak_behavioral_equivalence
a001757,symbolic_system,False,0.09291344740734704,0.4252252454780596,0.5116297152061551,0.06148317577055862,0.020828220983988732,0.1928207142662942,0.026451551022764197,0.21673680275948254,0.760818821206602,0.56609238112787,0.17835629219190147,0.04812323310092392,canon_458,0.6691157028033389,failed
a001759,graph_system,False,0.10763177983713011,0.09914728127470163,0.5825761740077173,0.05771125181497494,0.02570030778943483,0.042162264421810904,0.35113528853355125,0.06596646791155741,0.9148748127326984,0.6241427514922586,0.0752724848776994,0.01811646508468845,canon_203,0.7251617643123617,failed
a001761,differentiable_system,False,0.07833863941742106,0.24263187656346932,0.6838709694425954,0.4239912517030524,0.2457121543849281,0.31164896629592465,0.4005087972635919,0.3691449771454517,0.7086021509627994,0.716377597365103,0.2565019239144423,0.02665947994465301,canon_040,0.5262485378705316,failed
a001767,rewriting_system,False,0.05205777097248304,0.4154539968586957,0.3131121476145405,0.029568416941823106,0.0011809078444944276,0.005693849082952276,0.0625816346169753,0.682115414034991,0.7379086437637934,0.40313978107143184,0.332067719896049,0.5623581897727075,canon_430,0.5703794089294942,failed
a001770,symbolic_system,False,0.08982593489594268,0.19862475014128955,0.705995558512956,0.4258038167388657,0.26200453487233033,0.001477929789102491,0.2890873597104604,0.47339140465835056,0.7937828402455229,0.7332601188074651,0.45017032069199187,0.05002764560036477,canon_333,0.579883295619547,failed
a001775,cellular_automata,False,0.09747853925668468,0.384294134985496,0.7473433211965591,0.3895362078788188,0.26376579357821905,0.011288270083329117,0.2806957697632195,0.304591339925079,0.7648705123800646,0.7672852613967872,0.4342677756904733,0.04519195759518857,canon_012,0.4947255837404884,weak_behavioral_equivalence
