architecture_id,paradigm,e_star_complete,canonical_class,canonical_signature,lab_distance,weakest_lab_correspondence
a000435,symbolic_system,False,canon_492,R[4:1;5:1]E[5>4],0.7001025655629501,failed
a000446,cellular_automata,False,canon_217,R[0:2;1:1;2:2;3:1;4:1;5:1]E[0>4;0>5;1>2;1>5;2>0;2>3;2>4;2>5;3>0;3>1;3>2;3>5;4>1;4>5],0.5500506785737735,failed
a000451,graph_system,False,canon_086,R[0:1;2:1;4:2;5:1]E[0>4;2>0;2>4;4>2;4>5;5>0;5>2],0.6780060205521306,failed
a000453,hypergraph,False,canon_274,R[0:2;3:2;4:1;6:2;8:1]E[0>3;3>0;3>6;6>0;6>3;6>4;6>8;8>4],0.5747332538048862,failed
a000459,sat_based,False,canon_108,R[0:1;3:1;4:1;5:1;8:1]E[0>5;0>8;4>0;4>3;5>3;8>5],0.5353593930240655,failed
a000460,random_interaction,False,canon_462,R[3:2;4:1;5:2]E[3>4;3>5;4>3;5>4],0.6204359261525149,failed
a000461,probabilistic_system,False,canon_272,R[0:2;3:1]E[0>3],0.7111876499247151,failed
a000463,graph_system,False,canon_240,R[0:2;2:1;3:2;4:2;5:1]E[0>3;0>4;2>0;2>3;3>0;3>2;3>4;4>2;4>3;4>5;5>2;5>3],0.6023461361161001,failed
a000465,sat_based,False,canon_356,R[2:1;3:2;4:1;5:2;8:2]E[2>3;2>5;2>8;3>5;3>8;4>2;4>3;4>8;5>3;5>8;8>3],0.5389758920226645,failed
a000469,hypergraph,False,canon_428,R[3:1;4:1;6:2]E[3>6;4>6;6>3],0.7018135860920582,failed
a000471,differentiable_system,False,canon_344,R[2:1;3:1;4:1;6:1;8:1]E[2>3;2>4;2>8;3>4;3>8;4>8;6>2],0.6367737618668398,failed
a000474,random_interaction,False,canon_214,R[0:2;1:1;2:1;3:1;4:1;5:2]E[0>5;1>4;2>0;2>3;2>4;3>1;3>4;4>0;5>1;5>2;5>3],0.550263205025032,failed
a000479,symbolic_system,False,canon_192,R[0:1;4:2;5:1]E[0>4;5>0],0.6613590181142468,failed
a000480,probabilistic_system,False,canon_308,R[0:2]E[],0.7849248028115032,failed
a000481,symbolic_system,False,canon_420,R[3:1;4:1;5:2;8:2]E[3>4;3>8;4>8;5>3;8>4],0.5444191602921666,failed
a000482,cellular_automata,False,canon_047,R[0:1;2:1;3:1;5:2;7:2;8:1]E[0>3;0>5;2>5;3>2;3>5;3>7;3>8;5>2;5>7;7>0;7>2;7>3;7>5;7>8],0.44962992934772117,weak_behavioral_equivalence
a000483,rewriting_system,False,canon_271,R[0:2;3:1;5:1;8:1]E[0>3;0>8;3>5;3>8;5>0],0.5564968780176353,failed
