point_id,paradigm,phase,e_star_score,e_star_complete,pc1,pc2,memory_capacity,stochasticity,environmental_regularity,compositionality,interaction_locality,constraint_density,graph_connectivity,prediction_horizon,abstraction_budget,communication_bandwidth,feedback_strength,hierarchy_depth,computational_budget,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,abstraction_depth,transfer_efficiency,behavioral_entropy,compression_ratio,fixed_point_density,stability,uncertainty_persistence,reuse,hierarchy_growth,canonical_role_count_proxy,response_susceptibility,coordination
p000020,cellular_automata,-1,0.028342236310565982,False,-4.934026663679945,-1.4786305385452945,0.4562178812866913,0.5332717810996006,0.026774266739909517,0.6778169725487808,0.5970120060689075,0.23776855352199888,0.8919676507196543,0.02297775476063921,0.5818055572063526,0.10249258619192725,0.6338555702769471,0.10060131061920563,0.5980244528231857,0.10290386276047721,0.5009814187200136,0.7201291385513737,0.7484658376595763,0.4791463762944723,0.05556077507597603,0.41643710201422934,0.3568329945635866,0.7682675787554905,0.7429412573371961,0.6778169725487808,0.4553502173896288,2.9165855051778893,0.05556077507597603,0.9447655355713422,0.5057201605807948,0.7201291385513737,0.7429412573371961,0.32045656479370177,0.4358828346415381,0.4791463762944723,8.558124284570738,0.10290386276047721,0.7682675787554905
p000021,symbolic_system,-1,0.029272409110177144,False,2.617923402123402,-0.6576710885084986,0.5129548621541684,0.6637633911631413,0.017851476159160926,0.1409804364652039,0.6420603247573595,0.3685238751472628,0.039071203714629466,0.00817800069517418,0.6071566209428141,0.19253387223944518,0.7245058136753268,0.22679362808484527,0.7246482503112324,0.06466725938878783,0.4215294459638657,0.5762143752140154,0.2092088627213572,0.08799808866666797,0.08906727910602268,0.46654456647867293,0.03884973005769976,0.7613375444207877,0.6265069799949211,0.1409804364652039,0.15372821694145822,1.351992354666672,0.08906727910602268,0.8694612592359734,0.14943490194382658,0.5762143752140154,0.6265069799949211,0.3599851980969528,0.4032211992775234,0.08799808866666797,7.955690073887787,0.06466725938878783,0.7613375444207877
p000022,probabilistic_system,-1,0.027731686788606935,False,-3.4019130328541514,0.17013893966350804,0.6132044326658153,0.7973535887010113,0.02401748919375883,0.6653984567453086,0.7242133484509237,0.49794775218051335,0.16191752866756648,0.030778299773412295,0.6555882381519111,0.2527856484257409,0.787688250133564,0.3075753034793087,0.8438172026374748,0.08985102026058873,0.37666016833439947,0.6028269610476387,0.7647956326881258,0.35788063177832385,0.1307166548054423,0.9149052409489398,0.3251367874822763,0.732102089099119,0.6448252891478015,0.6653984567453086,0.16885060227562243,2.4315225271132954,0.1307166548054423,0.9326400821148466,0.5167538058703552,0.6028269610476387,0.6448252891478015,0.7139640294810043,0.2286024191828558,0.35788063177832385,8.461120656918773,0.08985102026058873,0.732102089099119
p000023,differentiable_system,-1,0.022353296165972925,False,-6.405889374410228,-0.1283919355283033,0.6802665700223889,0.9427779307216904,0.0030328498554686167,0.7081396709468778,0.8241471824212325,0.6049842932190086,0.3098423655690272,0.016273526658027906,0.6745014669206784,0.2776387598078367,0.8748702690245229,0.44327736113328253,0.9821987473298699,0.11271529708180894,0.70236544139667,0.6536977795562584,0.7680816822514586,0.4214431654060008,0.32114556150669377,0.30663921695242835,0.3807596366656275,0.7381370885672255,0.6841313395271491,0.7081396709468778,0.59003050448875,2.685772661624003,0.32114556150669377,0.9650641155442704,0.5189741096293639,0.6536977795562584,0.6841313395271491,0.23873668329988856,0.6463590837428836,0.4214431654060008,8.720512924354164,0.11271529708180894,0.7381370885672255
p000024,rewriting_system,-1,0.02118894878475519,False,4.319087638130097,0.12234312816161463,0.753779274986293,0.07200885176133687,0.02381150824900058,0.13030921482894398,0.8705391382344128,0.7177888743720211,0.46321446887075757,0.006532898795506125,0.7231183503652037,0.3426202455946119,0.9299659119671044,0.528623262076592,0.09761049001657973,0.06156303568846435,0.4632285905608575,0.4529907333885016,0.14657181556611387,0.03567737642954527,0.07617055084817195,0.09992336642385513,0.0687534492642396,0.8076921277915698,0.5214221398837187,0.13030921482894398,0.18664547309577773,1.142709505718181,0.07617055084817195,0.843073271531856,0.11820307706944667,0.4529907333885016,0.5214221398837187,0.07571117149096106,0.434713285154691,0.03567737642954527,7.744586172254848,0.06156303568846435,0.8076921277915698
p000025,sat_based,-1,0.12638090311530426,False,-2.427378603106945,2.4638083020340327,0.8275064062301254,0.18985402235646687,0.04748219798528705,0.5251748284204886,0.9715544768313402,0.8398677493341871,0.5889825579426327,0.022521951942414496,0.7387429497309599,0.40572663655985775,0.03260433816769259,0.6442274364117537,0.2564168573196497,0.09556805070335869,0.372510272457676,0.4299711668898942,0.8112266473038372,0.18095061506349253,0.30081183376539694,0.5445871193391403,0.29658265096307135,0.7172488892834491,0.4956075956716777,0.5251748284204886,0.1362248799210467,1.72380246025397,0.30081183376539694,0.9421702699659936,0.5794476052170265,0.4299711668898942,0.4956075956716777,0.4274057673999188,0.3355903679030067,0.18095061506349253,8.537362159727948,0.09556805070335869,0.7172488892834491
p000026,random_interaction,-1,0.01773953000233852,False,-1.3467887516436317,1.0893262301336772,0.899066760053155,0.3390021577068625,0.013751092902993148,0.5615970584093446,0.06567750962485608,0.945618369234992,0.7388057639383634,0.019607173563657907,0.7653354582706192,0.4568959198357452,0.13450299470126748,0.7522814237994209,0.3498527919400267,0.09703498165675224,0.5181341544663287,0.5570444988491215,0.46332091131337105,0.1876979933363923,0.04594239511373133,0.16180728377029874,0.41874683171850036,0.7416707632664973,0.6042546736804522,0.5615970584093446,0.39168560875148595,1.7507919733455692,0.04594239511373133,0.9304414748428588,0.33094350808097933,0.5570444988491215,0.6042546736804522,0.12580496427349988,0.3900422656763942,0.1876979933363923,8.443531798742871,0.09703498165675224,0.7416707632664973
p000027,graph_system,-1,0.11082790974790635,False,-3.573999314547869,-0.1741138947060813,0.983222055227073,0.4285036127689086,0.03716246222530893,0.5991556279129183,0.10940604411986321,0.054566702501533726,0.88365095274398,0.009838790828739796,0.8121318634119793,0.48713411362906034,0.19761800418874476,0.8536484035620227,0.4786069555088188,0.0966805936972224,0.36717669686105714,0.6336492828771194,0.6644546935251748,0.3418111810192228,0.14846212978932252,0.19120463818985944,0.5253538839164043,0.7608219592734968,0.669981927522902,0.5991556279129183,0.5319492935152801,2.3672447240768912,0.14846212978932252,0.9486324158382565,0.4746104953751249,0.6336492828771194,0.669981927522902,0.14756283195492279,0.3810340362882729,0.3418111810192228,8.589059326706053,0.0966805936972224,0.7608219592734968
p000028,hypergraph,-1,0.03376101950178512,False,-0.04074246593118802,5.042990836656543,0.04043006108984937,0.5785004926094754,0.046638204314640795,0.5475930307498614,0.1948135329318319,0.14223896260515634,0.0686711956622661,0.0313367420003138,0.8280632254251818,0.5557233351727677,0.29531844629702775,0.978911614590722,0.6190437325877483,0.0945793558541348,0.45013579023367073,0.3075649452661463,0.47329796836417826,0.022641936213412317,0.1121535307234779,0.7772040011368577,0.3983018661871559,0.6941751869338205,0.3908714481136119,0.5475930307498614,0.7085165835793091,1.0905677448536493,0.1121535307234779,0.9197137662184698,0.3380699774029845,0.3075649452661463,0.3908714481136119,0.6153492813043903,0.47961772346797277,0.022641936213412317,8.357710129747758,0.0945793558541348,0.6941751869338205
p000029,cellular_automata,-1,0.0328249580966925,False,-2.0521447514273206,-2.1810554183058284,0.0979888144796397,0.7075202156737026,0.01868472827005743,0.3138562312795985,0.27616852427760596,0.26872300694372653,0.1762533310742116,0.053770283445237904,0.836696425435555,0.641881283184426,0.36907881909492435,0.09107376980646986,0.7518271933353415,0.08881425455489439,0.39497383797089264,0.6837089498224442,0.4787671495196608,0.2791758690034183,0.4481196472070976,0.5157609485079695,0.06457355125855813,0.7661653326937063,0.7143427500342452,0.3138562312795985,0.0901579616869379,2.116703476013673,0.4481196472070976,0.9217376813437768,0.32349131724301405,0.6837089498224442,0.7143427500342452,0.3972135008967605,0.3426301462401954,0.2791758690034183,8.373901450750214,0.08881425455489439,0.7661653326937063
